Kind,Name,Cyclomatic
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testIfClosure,1
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testInvokeClosure,1
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testNopClosure,1
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testSingletonPatternInSerialization,2
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testSwitchClosure,6
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testSwitchMapClosure,2
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testTransformerClosure,1
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testWhileClosure,4
Public Constructor,org.apache.commons.collections4.CollectionUtils.CardinalityHelper.CardinalityHelper,1
Public Method,org.apache.commons.collections4.CollectionUtils.CardinalityHelper.freqA,1
Public Method,org.apache.commons.collections4.CollectionUtils.CardinalityHelper.freqB,1
Private Method,org.apache.commons.collections4.CollectionUtils.CardinalityHelper.getFreq,2
Public Method,org.apache.commons.collections4.CollectionUtils.CardinalityHelper.max,1
Public Method,org.apache.commons.collections4.CollectionUtils.CardinalityHelper.min,1
Private Constructor,org.apache.commons.collections4.CollectionUtils.CollectionUtils,1
Public Constructor,org.apache.commons.collections4.CollectionUtils.EquatorWrapper.EquatorWrapper,1
Public Method,org.apache.commons.collections4.CollectionUtils.EquatorWrapper.equals,2
Public Method,org.apache.commons.collections4.CollectionUtils.EquatorWrapper.getObject,1
Public Method,org.apache.commons.collections4.CollectionUtils.EquatorWrapper.hashCode,1
Public Constructor,org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper.SetOperationCardinalityHelper,1
Public Method,org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper.iterator,1
Public Method,org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper.list,1
Public Method,org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper.setCardinality,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.addAll,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.addAll,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.addAll,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.addAll,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.addIgnoreNull,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.cardinality,2
Static Method,org.apache.commons.collections4.CollectionUtils.checkIndexBounds,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.collate,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.collate,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.collate,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.collate,7
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.collect,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.collect,3
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.collect,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.collect,2
Public Static Method,org.apache.commons.collections4.CollectionUtils.containsAll,8
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.containsAny,6
Public Static Method,org.apache.commons.collections4.CollectionUtils.containsAny,6
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.countMatches,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.disjunction,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.emptyCollection,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.emptyIfNull,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.exists,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.extractSingleton,3
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.filter,4
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.filterInverse,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.find,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.forAllButLastDo,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.forAllButLastDo,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.forAllDo,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.forAllDo,2
Public Static Method,org.apache.commons.collections4.CollectionUtils.get,9
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.get,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.get,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.get,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.getCardinalityMap,3
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.intersection,2
Public Static Method,org.apache.commons.collections4.CollectionUtils.isEmpty,1
Public Static Method,org.apache.commons.collections4.CollectionUtils.isEqualCollection,5
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.isEqualCollection,3
Public Method,org.apache.commons.collections4.CollectionUtils.isEqualCollection.(Anon_1).transform,1
Public Static Method,org.apache.commons.collections4.CollectionUtils.isFull,4
Public Static Method,org.apache.commons.collections4.CollectionUtils.isNotEmpty,1
Public Static Method,org.apache.commons.collections4.CollectionUtils.isProperSubCollection,1
Public Static Method,org.apache.commons.collections4.CollectionUtils.isSubCollection,3
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.matchesAll,1
Public Static Method,org.apache.commons.collections4.CollectionUtils.maxSize,4
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.permutations,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.predicatedCollection,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.removeAll,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.removeAll,3
Public Method,org.apache.commons.collections4.CollectionUtils.removeAll.(Anon_3).transform,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.retainAll,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.retainAll,3
Public Method,org.apache.commons.collections4.CollectionUtils.retainAll.(Anon_2).transform,1
Public Static Method,org.apache.commons.collections4.CollectionUtils.reverseArray,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.select,4
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.select,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.select,4
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.selectRejected,4
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.selectRejected,2
Public Static Method,org.apache.commons.collections4.CollectionUtils.size,10
Public Static Method,org.apache.commons.collections4.CollectionUtils.sizeIsEmpty,9
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.subtract,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.subtract,5
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.synchronizedCollection,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.transform,4
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.transformingCollection,1
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.union,2
Public Static Generic Method,org.apache.commons.collections4.CollectionUtils.unmodifiableCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.(Anon_5).evaluate,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.(Anon_6).transform,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.addAllForElements,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.addAllForEnumeration,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.addAllForIterable,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.addIgnoreNull,1
Private Method,org.apache.commons.collections4.CollectionUtilsTest.assertCollectResult,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.cardinality,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.cardinalityOfNull,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.collateException1,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.collateException2,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.collect,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.containsAll,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.containsAnyInArray,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.containsAnyInCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.countMatches,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.disjunction,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.emptyCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.emptyIfNull,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.exists,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.extractSingleton,4
Public Method,org.apache.commons.collections4.CollectionUtilsTest.filter,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.filterInverse,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.filterInverseNullParameters,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.filterNullParameters,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.find,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.forAllButLastDoCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.forAllButLastDoCollection.(Anon_3).execute,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.forAllButLastDoCollection.(Anon_4).execute,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.forAllButLastDoIterator,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.forAllDoCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.forAllDoFailure,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.forAllDoIterator,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.get,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.get1,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getCardinalityMap,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getEnumeration,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getFromEnumeration,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getFromIterable,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getFromIterator,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getFromList,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getFromMap,3
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getFromObject,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getFromObjectArray,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getFromPrimitiveArray,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getIterator,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getNegative,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.getPositiveOutOfBounds,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.intersection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.intersectionUsesMethodEquals,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.isEmpty,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.isFull,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.maxSize,2
Private Generic Method,org.apache.commons.collections4.CollectionUtilsTest.next,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.predicatedCollection,3
Public Method,org.apache.commons.collections4.CollectionUtilsTest.reverse,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.select,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.selectRejected,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.selectWithOutputCollections,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.setUp,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testCollate,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testCollateIgnoreDuplicates,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testDisjunctionAsSymmetricDifference,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testDisjunctionAsUnionMinusIntersection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsEmptyWithEmptyCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsEmptyWithNonEmptyCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsEmptyWithNull,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollection2,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionEquator,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionEquator.(Anon_2).equate,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionEquator.(Anon_2).hash,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionNullEquator,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionReturnsFalse,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionToSelf,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsNotEmptyWithEmptyCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsNotEmptyWithNonEmptyCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsNotEmptyWithNull,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsProperSubCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsSubCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsSubCollection2,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testIsSubCollectionOfSelf,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testMatchesAll,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testMatchesAll.(Anon_8).evaluate,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testMatchesAll.(Anon_9).evaluate,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testPermutations,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testPermutationsWithNullCollection,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testRemoveAll,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testRemoveAllWithEquator,3
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testRemoveAllWithEquator.(Anon_10).equate,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testRemoveAllWithEquator.(Anon_10).hash,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testRetainAll,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testRetainAllWithEquator,3
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testRetainAllWithEquator.(Anon_11).equate,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testRetainAllWithEquator.(Anon_11).hash,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Array,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Enumeration,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Iterator,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_List,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Map,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Null,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Other,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_PrimitiveArray,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSize_Array,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSize_Enumeration,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSize_Iterator,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSize_List,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSize_Map,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSize_Other,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSize_PrimitiveArray,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSubtract,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSubtractWithPredicate,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSubtractWithPredicate.(Anon_1).evaluate,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testSynchronizedCollection,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testTransformedCollection,3
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testTransformedCollection_2,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.testUnmodifiableCollection,2
Public Method,org.apache.commons.collections4.CollectionUtilsTest.transform1,1
Public Method,org.apache.commons.collections4.CollectionUtilsTest.transform2,1
